Frame,X,Y
1010,-60,204
1011,-58,207
1012,-58,208
1013,-58,205
1014,-60,201
1015,-76,194
1016,-62,188
1017,-63,185
1018,-64,184
1019,-65,187
1020,-79,196
1021,-59,207
1022,-56,213
1023,-57,214
1024,-61,210
1025,-65,203
1026,-83,195
1027,-84,194
1028,-84,195
1029,-84,194
1030,-86,195
1031,-85,198
1032,-66,200
1033,-61,201
1034,-58,200
1035,-72,196
1036,-74,193
1037,-60,188
1038,-58,185
1039,-56,182
1040,-57,183
1041,-60,186
1042,-78,192
1043,-80,194
1044,-81,193
1045,-82,192
1046,-66,190
1047,-67,189
1048,-70,188
1049,-73,187
1050,-75,188
1051,-76,188
1052,-75,189
1053,-87,193
1054,-83,196
1055,-63,201
1056,-58,206
1057,-53,209
1058,-50,206
1059,-62,197
1060,-62,193
1061,-56,184
1062,-64,181
1063,-71,183
1064,-77,186
1065,-79,189
1066,-79,187
1067,-91,196
1068,-70,201
1069,-66,203
1070,-63,202
1071,-62,201
1072,-77,198
1073,-80,196
1074,-83,193
1075,-71,186
1076,-87,194
1077,-86,196
1078,-86,197
1079,-83,198
1080,-78,196
1081,-72,194
1082,-68,194
1083,-67,194
1084,-71,194
1085,-76,192
1086,-67,186
1087,-70,182
1088,-71,183
1089,-71,186
1090,-71,186
1091,-72,186
1092,-71,188
1093,-69,189
1094,-67,189
1095,-66,189
1096,-67,187
1097,-69,186
1098,-70,185
1099,-68,186
1100,-66,186
1101,-63,185
1102,-61,182
1103,-60,182
1104,-60,186
1105,-72,192
1106,-71,194
1107,-75,193
1108,-66,188
1109,-70,185
1110,-71,181
1111,-69,179
1112,-68,181
1113,-68,185
1114,-68,189
1115,-65,189
1116,-63,188
1117,-61,186
1118,-62,185
1119,-65,183
1120,-68,180
1121,-71,179
1122,-70,179
1123,-68,178
1124,-66,178
1125,-64,181
1126,-61,185
1127,-59,186
1128,-58,186
1129,-57,188
1130,-70,192
1131,-70,192
1132,-59,186
1133,-65,180
1134,-70,176
1135,-69,178
1136,-66,177
1137,-64,174
1138,-64,174
1139,-63,179
1140,-60,182
1141,-59,181
1142,-61,177
1143,-64,172
1144,-66,169
1145,-66,168
1146,-65,172
1147,-62,182
1148,-73,195
1149,-56,203
1150,-53,208
1151,-52,206
1152,-53,202
1153,-66,197
1154,-66,193
1155,-53,187
1156,-54,185
1157,-53,187
1158,-52,188
1159,-50,188
1160,-50,185
1161,-53,179
1162,-57,175
1163,-62,174
1164,-65,177
1165,-65,180
1166,-63,181
1167,-60,184
1168,-56,187
1169,-62,196
1170,-42,205
1171,-39,209
1172,-41,206
1173,-43,201
1174,-58,196
1175,-55,196
1176,-51,196
1177,-51,193
1178,-53,191
1179,-43,187
1180,-45,183
1181,-44,179
1182,-44,175
1183,-45,172
1184,-49,171
1185,-53,174
1186,-54,177
1187,-53,179
1188,-51,184
1189,-62,193
1190,-47,201
1191,-44,207
1192,-41,210
1193,-41,208
1194,-43,203
1195,-60,197
1196,-60,194
1197,-59,194
1198,-57,194
1199,-57,196
1200,-42,200
1201,-40,200
1202,-49,195
1203,-49,192
1204,-41,185
1205,-45,181
1206,-49,178
1207,-50,176
1208,-51,182
1209,-66,195
1210,-53,206
1211,-55,216
1212,-60,225
1213,-67,234
1214,-73,238
1215,-77,239
1216,-73,247
1217,-62,267
1218,-48,293
1219,-34,314
1220,-21,331
1221,-7,345
1222,6,359
1223,12,370
1224,9,374
1225,2,375
1226,-3,377
1227,0,385
1228,3,397
1229,-1,410
1230,-7,421
1231,-10,435
1232,-9,445
1233,-4,444
1234,-1,436
1235,-1,426
1236,-3,426
1237,-5,433
1238,-10,435
1239,-15,429
1240,-18,422
1241,-19,418
1242,-20,414
1243,-22,407
1244,-27,401
1245,-30,399
1246,-29,401
1247,-26,406
1248,-23,409
1249,-21,414
1250,-19,421
1251,-16,430
1252,-13,438
1253,-9,443
1254,-7,446
1255,-6,447
1256,-5,449
1257,-1,452
1258,4,455
1259,8,459
1260,9,460
1261,9,459
1262,7,456
1263,6,453
1264,6,451
1265,5,448
1266,1,441
1267,-2,436
1268,-4,434
1269,-4,436
1270,-2,437
1271,1,438
1272,4,436
1273,4,435
1274,3,437
1275,2,439
1276,1,440
1277,-1,437
1278,-4,437
1279,-6,441
1280,-5,449
1281,-3,456
1282,1,460
1283,7,463
1284,13,464
1285,21,463
1286,29,464
1287,33,465
1288,33,466
1289,31,467
1290,27,466
1291,23,461
1292,17,453
1293,12,451
1294,9,453
1295,7,456
1296,7,461
1297,11,467
1298,17,471
1299,22,471
1300,25,469
1301,26,465
1302,26,465
1303,22,463
1304,15,459
1305,6,450
1306,0,442
1307,-5,437
1308,-5,436
1309,-4,438
1310,-3,439
1311,-1,441
1312,3,445
1313,9,452
1314,18,458
1315,26,460
1316,28,458
1317,25,457
1318,21,458
1319,19,456
1320,17,450
1321,15,445
1322,15,448
1323,17,457
1324,19,463
1325,20,463
1326,20,456
1327,19,448
1328,18,442
1329,19,442
1330,17,438
1331,13,431
1332,9,428
1333,8,432
1334,10,435
1335,13,435
1336,15,432
1337,14,426
1338,11,423
1339,9,422
1340,10,420
1341,10,412
1342,7,401
1343,4,396
1344,5,397
1345,7,395
1346,9,389
1347,9,380
1348,8,372
1349,8,365
1350,10,357
1351,11,350
1352,9,342
1353,6,335
1354,3,327
1355,1,319
1356,2,308
1357,3,297
1358,2,287
1359,2,279
1360,2,272
1361,4,264
1362,5,252
1363,5,237
1364,4,223
1365,3,211
1366,4,201
1367,8,179
1368,4,152
1369,-6,125
1370,-21,121
1371,-34,139
1372,-49,157
1373,-63,177
1374,-72,207
1375,-67,224
1376,-48,247
1377,-18,268
1378,13,279
1379,31,274
1380,42,257
1381,56,247
1382,67,248
1383,65,253
1384,50,255
1385,28,259
1386,0,262
1387,-29,255
1388,-50,238
1389,-56,224
